Intercept,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,,,,,,,,,,,,,,
203,340,120,0,0,0,0,1,4.5,4.5,9.91,1,0.97,2.800324712,16.44998742,0.942693368,-0.143023957,,,1,1,,,,,
204,334,120,0,0,0,0,1,4,5,9.87,1,0.97,2.793680731,16.34105627,0.942333386,-0.143206576,,,1,1,,,,,
205,298,105,0,0,1,0,0,3.5,4,8.54,0,0.69,0.723136115,2.060886263,0.673297237,-0.619740583,,,1,1,,,,,
206,295,99,0,1,0,0,0,2.5,3,7.65,0,0.57,-0.017517242,0.982635293,0.495620801,-0.694411744,,,1,0,,,,,
207,315,99,0,1,0,0,0,3.5,3,7.89,0,0.63,0.280989337,1.324439481,0.569788756,-0.666455644,,,1,1,,,,,
208,310,102,0,0,1,0,0,3.5,4,8.02,1,0.66,0.621334085,1.861409665,0.650521905,-0.641233897,,,1,1,,,,,
209,305,106,0,1,0,0,0,3,3,8.16,0,0.64,0.515770692,1.67492886,0.626158282,-0.653829542,,,1,1,,,,,
210,301,104,0,0,1,0,0,3.5,4,8.12,1,0.68,0.647562474,1.910877334,0.656460962,-0.628112043,,,1,1,,,,,
211,325,108,0,0,0,1,0,4.5,4,9.06,1,0.79,1.501142966,4.486814417,0.817744884,-0.516444892,,,1,1,,,,,
212,328,110,0,0,0,1,0,5,4,9.14,1,0.82,1.608078703,4.99320857,0.833144469,-0.472002387,,,1,1,,,,,
213,338,120,0,0,0,1,0,5,5,9.66,1,0.95,2.338454479,10.36520454,0.912012142,-0.209024699,,,1,1,,,,,
214,333,119,0,0,0,0,1,5,4.5,9.78,1,0.96,2.631472217,13.89421015,0.932859817,-0.174759228,,,1,1,,,,,
215,331,117,0,0,0,1,0,4.5,5,9.42,1,0.94,2.078926192,7.995878265,0.88883798,-0.242575881,,,1,1,,,,,
216,330,116,0,0,0,0,1,5,4.5,9.36,1,0.93,2.28687051,9.844082464,0.907783807,-0.256829962,,,1,1,,,,,
217,322,112,0,0,0,1,0,4.5,4.5,9.26,1,0.91,1.740839053,5.702125801,0.850793609,-0.318261222,,,1,1,,,,,
218,321,109,0,0,0,1,0,4,4,9.13,1,0.85,1.5398168,4.663735797,0.823438092,-0.425239429,,,1,1,,,,,
219,324,110,0,0,0,1,0,3,3.5,8.97,1,0.84,1.446824722,4.249599408,0.809509274,-0.442819004,,,1,1,,,,,
220,312,104,0,0,1,0,0,3.5,3.5,8.42,0,0.74,0.688291579,1.990312335,0.665586772,-0.586042074,,,1,1,,,,,
221,313,103,0,0,1,0,0,4,4,8.75,0,0.76,0.928257332,2.530096215,0.716721602,-0.555849555,,,1,1,,,,,
222,316,110,0,0,1,0,0,3.5,4,8.56,0,0.75,0.992467903,2.69788438,0.729575104,-0.56340994,,,1,1,,,,,
223,324,113,0,0,0,1,0,4.5,4,8.79,0,0.76,1.255355518,3.509085694,0.77822555,-0.552024211,,,1,1,,,,,
224,308,109,0,1,0,0,0,3,4,8.45,0,0.71,0.900372206,2.460518762,0.711025985,-0.602154242,,,1,1,,,,,
225,305,105,0,1,0,0,0,3,2,8.23,0,0.67,0.418289958,1.519361161,0.603073979,-0.64375109,,,1,1,,,,,
226,296,99,0,1,0,0,0,2.5,2.5,8.03,0,0.61,0.163468697,1.177588493,0.540776412,-0.678502163,,,1,1,,,,,
227,306,110,0,1,0,0,0,3.5,4,8.45,0,0.63,0.895098983,2.447578045,0.709941302,-0.67375961,,,1,1,,,,,
228,312,110,0,1,0,0,0,3.5,3,8.53,0,0.64,0.875554238,2.400205211,0.705900104,-0.663481073,,,1,1,,,,,
229,318,112,0,0,1,0,0,4,3.5,8.67,0,0.71,1.049515213,2.856266102,0.740681796,-0.604543583,,,1,1,,,,,
230,324,111,0,0,0,1,0,3,3,9.01,1,0.82,1.43236549,4.188595562,0.807269619,-0.471923354,,,1,1,,,,,
231,313,104,0,0,1,0,0,4,4.5,8.65,0,0.73,0.947687287,2.579736566,0.720649835,-0.583477493,,,1,1,,,,,
232,319,106,0,0,1,0,0,3.5,2.5,8.33,1,0.74,0.79138759,2.20645596,0.688129195,-0.579539448,,,1,1,,,,,
233,312,107,0,1,0,0,0,2.5,3.5,8.27,0,0.69,0.732120874,2.079486262,0.675270511,-0.619599382,,,1,1,,,,,
234,304,100,0,1,0,0,0,2.5,3.5,8.07,0,0.64,0.396177108,1.486132501,0.597768824,-0.657174941,,,1,1,,,,,
235,330,113,0,0,0,0,1,5,4,9.31,1,0.91,2.134146841,8.449834377,0.89417804,-0.30392359,,,1,1,,,,,
236,326,111,0,0,0,0,1,4.5,4,9.23,1,0.88,2.018709745,7.528604841,0.882747528,-0.366961214,,,1,1,,,,,
237,325,112,0,0,0,1,0,4,4.5,9.17,1,0.85,1.720435287,5.586959864,0.848184896,-0.422721923,,,1,1,,,,,
238,329,114,0,0,0,0,1,4.5,5,9.19,1,0.86,2.201660847,9.040015123,0.900398556,-0.413150292,,,1,1,,,,,
239,310,104,0,0,1,0,0,2,3.5,8.37,0,0.7,0.667998938,1.95033068,0.661054943,-0.614318003,,,1,1,,,,,
240,299,100,1,0,0,0,0,1.5,2,7.89,0,0.59,0.162151485,1.176038381,0.540449282,-0.681836591,,,1,1,,,,,
241,296,101,1,0,0,0,0,2.5,3,7.68,0,0.6,0.130404037,1.139288605,0.532554889,-0.682230924,,,1,1,,,,,
242,317,103,0,1,0,0,0,2.5,2,8.15,0,0.65,0.438874606,1.550960795,0.607990839,-0.651201576,,,1,1,,,,,
243,324,115,0,0,1,0,0,3.5,3,8.76,1,0.7,1.343724864,3.833295448,0.793101827,-0.634921118,,,1,1,,,,,
244,325,114,0,0,1,0,0,3.5,3,9.04,1,0.76,1.502506324,4.492935722,0.817947988,-0.561558046,,,1,1,,,,,
245,314,107,0,1,0,0,0,2.5,4,8.56,0,0.63,0.986050453,2.680626277,0.728307107,-0.681871136,,,1,1,,,,,
246,328,110,0,0,0,1,0,4,2.5,9.02,1,0.81,1.373769957,3.950214799,0.797988564,-0.486677304,,,1,1,,,,,
247,316,105,0,0,1,0,0,3,3.5,8.73,0,0.72,0.94163113,2.564160488,0.71942902,-0.592954125,,,1,1,,,,,
248,311,104,0,1,0,0,0,2.5,3.5,8.48,0,0.71,0.789490851,2.202274855,0.687721996,-0.603322945,,,1,1,,,,,
249,324,110,0,0,1,0,0,3.5,4,8.87,1,0.8,1.426293427,4.163239206,0.806323132,-0.500529394,,,1,1,,,,,
250,321,111,0,0,1,0,0,3.5,4,8.83,1,0.77,1.397164093,4.043716088,0.801733487,-0.542326778,,,1,1,,,,,
251,320,104,0,0,1,0,0,3,2.5,8.57,1,0.74,0.913997082,2.494272447,0.713817393,-0.574767343,,,1,1,,,,,
252,316,99,0,1,0,0,0,2.5,3,9,0,0.7,0.985944799,2.680343073,0.7282862,-0.612844615,,,1,1,,,,,
253,318,100,0,1,0,0,0,2.5,3.5,8.54,1,0.71,0.978780683,2.661209404,0.72686621,-0.602859246,,,1,1,,,,,
254,335,115,0,0,0,1,0,4.5,4.5,9.68,1,0.93,2.170454351,8.762264283,0.897564748,-0.260001823,,,1,1,,,,,
255,321,114,0,0,0,1,0,4,5,9.12,0,0.85,1.580844639,4.85905823,0.829324106,-0.424270936,,,1,1,,,,,
256,307,110,0,0,0,1,0,4,4.5,8.37,0,0.79,0.86054143,2.364440525,0.702773762,-0.533433957,,,1,1,,,,,
257,309,99,0,0,1,0,0,4,4,8.56,0,0.76,0.694881273,2.003471194,0.667051909,-0.571658917,,,1,1,,,,,
258,324,100,0,0,1,0,0,4,5,8.64,1,0.78,1.187927149,3.280274635,0.766370132,-0.527433998,,,1,1,,,,,
259,326,102,0,0,0,1,0,5,5,8.76,1,0.77,1.311772588,3.712749056,0.787809623,-0.540206509,,,1,1,,,,,
260,331,119,0,0,0,1,0,5,4.5,9.34,1,0.9,2.002869032,7.410285978,0.881097979,-0.326873349,,,1,1,,,,,
261,327,108,0,0,0,0,1,5,3.5,9.13,1,0.87,1.834846619,6.264173267,0.862338085,-0.386637935,,,1,1,,,,,
262,312,104,0,0,1,0,0,3.5,4,8.09,0,0.71,0.546360091,1.726955602,0.633290693,-0.615270158,,,1,1,,,,,
263,308,103,0,1,0,0,0,2.5,4,8.36,1,0.7,0.905946535,2.4742728,0.712169983,-0.611222617,,,1,1,,,,,
264,324,111,0,0,1,0,0,2.5,1.5,8.79,1,0.7,1.117806525,3.05813889,0.753581623,-0.6182599,,,1,1,,,,,
265,325,110,0,1,0,0,0,3,2.5,8.76,1,0.75,1.252370409,3.498626311,0.777709921,-0.564494279,,,1,1,,,,,
266,313,102,0,0,1,0,0,2.5,2.5,8.68,0,0.71,0.712772184,2.039637679,0.671013421,-0.605670073,,,1,1,,,,,
267,312,105,0,1,0,0,0,2,2.5,8.45,0,0.72,0.690127449,1.993969646,0.665995278,-0.599708385,,,1,1,,,,,
268,314,107,0,0,1,0,0,3,3.5,8.17,1,0.73,0.800453687,2.226550856,0.690071521,-0.587082529,,,1,1,,,,,
269,327,113,0,0,0,1,0,4.5,5,9.14,0,0.83,1.61416909,5.023711936,0.833989405,-0.455943325,,,1,1,,,,,
270,308,108,0,0,0,1,0,4.5,5,8.34,0,0.77,0.859707698,2.362470039,0.702599581,-0.550700907,,,1,1,,,,,
271,306,105,0,1,0,0,0,2.5,3,8.22,1,0.72,0.725591745,2.065953257,0.673837167,-0.597932478,,,1,1,,,,,
272,299,96,0,1,0,0,0,1.5,2,7.86,0,0.54,-0.01890287,0.981274669,0.495274423,-0.69394796,,,1,0,,,,,
273,294,95,1,0,0,0,0,1.5,1.5,7.64,0,0.49,-0.196925784,0.821251581,0.450927038,-0.696017581,,,0,0,,,,,
274,312,99,1,0,0,0,0,1,1.5,8.01,1,0.52,0.450933635,1.5697771,0.610861191,-0.709333674,,,1,1,,,,,
275,315,100,1,0,0,0,0,2,2.5,7.95,0,0.58,0.385468142,1.470302471,0.595191272,-0.680769079,,,1,1,,,,,
276,322,110,0,0,1,0,0,3.5,3,8.96,1,0.78,1.344848428,3.837604824,0.793286133,-0.527437953,,,1,1,,,,,
277,329,113,0,0,0,0,1,5,4.5,9.45,1,0.89,2.270913065,9.688242768,0.906439251,-0.348031703,,,1,1,,,,,
278,320,101,0,1,0,0,0,2.5,3,8.62,0,0.7,0.829381166,2.291899996,0.696224065,-0.610898088,,,1,1,,,,,
279,308,103,0,1,0,0,0,3,3.5,8.49,0,0.66,0.740192452,2.09633892,0.677037939,-0.641693402,,,1,1,,,,,
280,304,102,0,1,0,0,0,3,4,8.73,0,0.67,0.891743566,2.439379164,0.709249852,-0.63782279,,,1,1,,,,,
281,311,102,0,0,1,0,0,4.5,4,8.64,1,0.68,0.990518346,2.692629824,0.729190293,-0.632786419,,,1,1,,,,,
282,317,110,0,0,1,0,0,4,4.5,9.11,1,0.8,1.564069958,4.778228915,0.82693659,-0.502841253,,,1,1,,,,,
283,312,106,0,0,1,0,0,4,3.5,8.79,1,0.81,1.123316653,3.075036136,0.754603403,-0.494993126,,,1,1,,,,,
284,321,111,0,0,1,0,0,2.5,3,8.9,1,0.8,1.338676022,3.813990522,0.792272129,-0.500585553,,,1,1,,,,,
285,340,112,0,0,0,1,0,5,4.5,9.66,1,0.94,2.129200534,8.408142097,0.893709088,-0.240126993,,,1,1,,,,,
286,331,116,0,0,0,0,1,4,4,9.26,1,0.93,2.192722206,8.959569747,0.899594056,-0.259302221,,,1,1,,,,,
287,336,118,0,0,0,0,1,4.5,4,9.19,1,0.92,2.225001384,9.25349561,0.902472285,-0.280617409,,,1,1,,,,,
288,324,114,0,0,0,0,1,5,4.5,9.08,1,0.89,2.023130601,7.561961403,0.883204332,-0.346743065,,,1,1,,,,,
289,314,104,0,0,0,1,0,5,5,9.02,0,0.82,1.233881319,3.434534222,0.774497174,-0.477639906,,,1,1,,,,,
290,313,109,0,0,1,0,0,4,3.5,9,0,0.79,1.146207176,3.146237129,0.758817461,-0.516697538,,,1,1,,,,,
291,307,105,0,1,0,0,0,2.5,3,7.65,0,0.58,0.209402372,1.232940999,0.552160133,-0.681866175,,,1,1,,,,,
292,300,102,0,1,0,0,0,1.5,2,7.87,0,0.56,0.120612413,1.128187556,0.530116602,-0.687727754,,,1,1,,,,,
293,302,99,0,1,0,0,0,1,2,7.97,0,0.56,0.145357387,1.156452797,0.536275498,-0.687064512,,,1,1,,,,,
294,312,98,1,0,0,0,0,3.5,3,8.18,1,0.64,0.667715086,1.949777154,0.66099134,-0.654391971,,,1,1,,,,,
295,316,101,0,1,0,0,0,2.5,2,8.32,1,0.61,0.669004804,1.952293439,0.661280282,-0.674489375,,,1,1,,,,,
296,317,100,0,1,0,0,0,3,2.5,8.57,0,0.68,0.683700132,1.981194869,0.664564028,-0.627408093,,,1,1,,,,,
297,310,107,0,0,1,0,0,3.5,3.5,8.67,0,0.76,0.886505976,2.426636097,0.708168603,-0.557834508,,,1,1,,,,,
298,320,120,0,0,1,0,0,4,4.5,9.11,0,0.86,1.621360734,5.059970907,0.834982706,-0.407334768,,,1,1,,,,,
299,330,114,0,0,1,0,0,4.5,4.5,9.24,1,0.9,1.828206813,6.222718154,0.861547969,-0.331845225,,,1,1,,,,,
300,305,112,0,0,1,0,0,3,3.5,8.65,0,0.71,0.944951755,2.572689256,0.720098803,-0.602402859,,,1,1,,,,,
301,309,106,0,1,0,0,0,2.5,2.5,8,0,0.62,0.401375032,1.493877416,0.599017981,-0.664986174,,,1,1,,,,,
302,319,108,0,1,0,0,0,2.5,3,8.76,0,0.66,1.052148989,2.863798782,0.741187351,-0.657232507,,,1,1,,,,,
303,322,105,0,1,0,0,0,3,3,8.45,1,0.65,0.993069993,2.699509239,0.729693877,-0.662704677,,,1,1,,,,,
304,323,107,0,0,1,0,0,3.5,3.5,8.55,1,0.73,1.100081699,3.004411471,0.750275413,-0.584336981,,,1,1,,,,,
305,313,106,0,1,0,0,0,2.5,2,8.43,0,0.62,0.638418141,1.893483286,0.654395792,-0.666641818,,,1,1,,,,,
306,321,109,0,0,1,0,0,3.5,3.5,8.8,1,0.74,1.277478879,3.587583581,0.78202032,-0.578019062,,,1,1,,,,,
307,323,110,0,0,1,0,0,4,3.5,9.1,1,0.79,1.489529647,4.435009008,0.816007665,-0.516132757,,,1,1,,,,,
308,325,112,0,0,0,1,0,4,4,9,1,0.8,1.556835848,4.74378741,0.825898849,-0.502650142,,,1,1,,,,,
309,312,108,0,0,1,0,0,3.5,3,8.53,0,0.69,0.779058329,2.179419003,0.685477127,-0.61914823,,,1,1,,,,,
310,308,110,0,0,0,1,0,3.5,3,8.6,0,0.7,0.839517967,2.315250682,0.698363685,-0.610870664,,,1,1,,,,,
311,320,104,0,0,1,0,0,3,3.5,8.74,1,0.76,1.137315444,3.118385638,0.75718641,-0.551101514,,,1,1,,,,,
312,328,108,0,0,0,1,0,4.5,4,9.18,1,0.84,1.599974465,4.952905952,0.832014816,-0.439900945,,,1,1,,,,,
313,311,107,0,0,0,1,0,4.5,4.5,9,1,0.78,1.384361934,3.992277755,0.799690632,-0.528089961,,,1,1,,,,,
314,301,100,0,0,1,0,0,3.5,3,8.04,0,0.67,0.219585331,1.245560129,0.55467681,-0.661832819,,,1,1,,,,,
315,305,105,0,1,0,0,0,3,4,8.13,0,0.66,0.596059466,1.814952808,0.644754258,-0.641546249,,,1,1,,,,,
316,308,104,0,1,0,0,0,2.5,3,8.07,0,0.65,0.453732491,1.574176835,0.6115263,-0.650603688,,,1,1,,,,,
317,298,101,0,1,0,0,0,1.5,2,7.86,0,0.54,0.076681859,1.079698525,0.519161076,-0.69081474,,,1,1,,,,,
318,300,99,1,0,0,0,0,1,2.5,8.01,0,0.58,0.291969696,1.339062438,0.572478279,-0.680407758,,,1,1,,,,,
319,324,111,0,0,1,0,0,2.5,2,8.8,1,0.79,1.183636067,3.266228865,0.765600948,-0.515657774,,,1,1,,,,,
320,327,113,0,0,0,1,0,3.5,3,8.69,1,0.8,1.294876486,3.650545053,0.784971441,-0.50108324,,,1,1,,,,,
321,317,106,0,0,1,0,0,4,3.5,8.5,1,0.75,0.988615511,2.687511066,0.728814373,-0.563490089,,,1,1,,,,,
322,323,104,0,0,1,0,0,4,4,8.44,1,0.73,1.021044443,2.77609272,0.735175994,-0.58332736,,,1,1,,,,,
323,314,107,0,1,0,0,0,2.5,4,8.27,0,0.72,0.808842516,2.245307574,0.691862797,-0.594843518,,,1,1,,,,,
324,305,102,0,1,0,0,0,2,2.5,8.18,0,0.62,0.403179582,1.496575626,0.599451349,-0.664948702,,,1,1,,,,,
325,315,104,0,0,1,0,0,3,2.5,8.33,0,0.67,0.548449965,1.730568497,0.633775896,-0.637048351,,,1,1,,,,,
326,326,116,0,0,1,0,0,3.5,4,9.14,1,0.81,1.73318615,5.65865454,0.84981951,-0.492036661,,,1,1,,,,,
327,299,100,0,0,1,0,0,2,2,8.02,0,0.63,0.098186699,1.103168727,0.524526973,-0.681587504,,,1,1,,,,,
328,295,101,0,1,0,0,0,2.5,2,7.86,0,0.69,0.033002335,1.033552952,0.508249835,-0.687012875,,,1,1,,,,,
329,324,112,0,0,0,1,0,4,3.5,8.77,1,0.8,1.34807134,3.849993037,0.793814137,-0.500520197,,,1,1,,,,,
330,297,96,0,1,0,0,0,2.5,1.5,7.89,0,0.43,-0.095468103,0.908947354,0.476151085,-0.687603251,,,0,0,,,,,
331,327,113,0,0,1,0,0,3.5,3,8.66,1,0.8,1.266488321,3.54836992,0.780141014,-0.501578253,,,1,1,,,,,
332,311,105,0,1,0,0,0,3,2,8.12,1,0.73,0.578466785,1.783302148,0.640714537,-0.601357293,,,1,1,,,,,
333,308,106,0,0,1,0,0,3.5,2.5,8.21,1,0.75,0.624545218,1.867396507,0.65125158,-0.584995564,,,1,1,,,,,
334,319,108,0,0,1,0,0,3,3.5,8.54,1,0.71,1.089870585,2.973889181,0.748357351,-0.605937143,,,1,1,,,,,
335,312,107,0,0,0,1,0,4.5,4,8.65,1,0.73,1.119272721,3.06262601,0.753853789,-0.584760479,,,1,1,,,,,
336,325,111,0,0,0,1,0,4,4.5,9.11,1,0.83,1.662954358,5.274871706,0.840634192,-0.456300922,,,1,1,,,,,
337,319,110,0,0,1,0,0,3,2.5,8.79,0,0.72,0.988447159,2.687058656,0.728781098,-0.593147074,,,1,1,,,,,
338,332,118,0,0,0,0,1,5,5,9.47,1,0.94,2.47244339,11.85136902,0.922187278,-0.229353558,,,1,1,,,,,
339,323,108,0,0,0,0,1,4,4,8.74,1,0.81,1.64042143,5.157342515,0.837592273,-0.488903916,,,1,1,,,,,
340,324,107,0,0,0,0,1,3.5,4,8.66,1,0.81,1.588308347,4.8954605,0.830377966,-0.487652887,,,1,1,,,,,
341,312,107,0,0,1,0,0,3,3,8.46,1,0.75,0.900939982,2.461916181,0.711142631,-0.566117259,,,1,1,,,,,
342,326,110,0,0,1,0,0,3.5,3.5,8.76,1,0.79,1.316360418,3.72982165,0.788575538,-0.513962766,,,1,1,,,,,
343,308,106,0,0,1,0,0,3,3,8.24,0,0.58,0.535298244,1.707957554,0.630717993,-0.685721699,,,1,1,,,,,
344,305,103,0,1,0,0,0,2.5,3.5,8.13,0,0.59,0.503793831,1.654988121,0.62335048,-0.67920182,,,1,1,,,,,
345,295,96,0,1,0,0,0,1.5,2,7.34,0,0.47,-0.37066047,0.690278272,0.408381438,-0.699103594,,,0,0,,,,,
346,316,98,1,0,0,0,0,1.5,2,7.43,0,0.49,-0.016048298,0.98407979,0.495988012,-0.693018891,,,0,0,,,,,
347,304,97,0,1,0,0,0,1.5,2,7.64,0,0.47,-0.090012465,0.913919793,0.477512065,-0.691459245,,,0,0,,,,,
348,299,94,1,0,0,0,0,1,1,7.34,0,0.42,-0.409185962,0.664190706,0.399107328,-0.681197047,,,0,0,,,,,
349,302,99,1,0,0,0,0,2,2,7.25,0,0.57,-0.233328964,0.791893027,0.441930972,-0.716270127,,,1,0,,,,,
350,313,101,0,0,1,0,0,2.5,3,8.04,0,0.62,0.360594304,1.434181502,0.589184291,-0.666042092,,,1,1,,,,,
351,318,107,0,0,1,0,0,3,3.5,8.27,1,0.74,0.895565308,2.448719679,0.71003732,-0.575284727,,,1,1,,,,,
352,325,110,0,0,0,1,0,3.5,4,8.67,1,0.73,1.322638725,3.753312282,0.789620387,-0.593315428,,,1,1,,,,,
353,303,100,0,1,0,0,0,3,3.5,8.06,1,0.64,0.548862884,1.731283229,0.633871731,-0.6534993,,,1,1,,,,,
354,300,102,0,0,1,0,0,3.5,2.5,8.17,0,0.63,0.272437525,1.313161416,0.567691216,-0.666979527,,,1,1,,,,,
355,297,98,0,1,0,0,0,2.5,3,7.67,0,0.59,-0.009110505,0.99093087,0.49772239,-0.693977501,,,1,0,,,,,
356,317,106,0,1,0,0,0,2,3.5,8.12,0,0.73,0.671238897,1.95665992,0.661780513,-0.594055831,,,1,1,,,,,
357,327,109,0,0,1,0,0,3.5,4,8.77,1,0.79,1.369874101,3.93485527,0.797359812,-0.514122805,,,1,1,,,,,
358,301,104,0,1,0,0,0,3.5,3.5,7.89,1,0.68,0.502160798,1.652287676,0.622966992,-0.633953199,,,1,1,,,,,
359,314,105,0,1,0,0,0,2.5,2,7.64,0,0.7,0.14336342,1.154149166,0.535779594,-0.667041433,,,1,1,,,,,
360,321,107,0,1,0,0,0,2,1.5,8.44,0,0.81,0.68272565,1.97926517,0.664346762,-0.538668907,,,1,1,,,,,
361,322,110,0,0,1,0,0,4,5,8.64,1,0.85,1.379096606,3.971312348,0.798845872,-0.431451744,,,1,1,,,,,
362,334,116,0,0,0,1,0,4,3.5,9.54,1,0.93,1.986871427,7.292682344,0.879411756,-0.267583054,,,1,1,,,,,
363,338,115,0,0,0,0,1,4.5,5,9.23,1,0.91,2.323432771,10.21066508,0.910799226,-0.302541744,,,1,1,,,,,
364,306,103,0,1,0,0,0,2.5,3,8.36,0,0.69,0.593120493,1.80962654,0.644080811,-0.623798431,,,1,1,,,,,
365,313,102,0,0,1,0,0,3.5,4,8.9,1,0.77,1.184572592,3.269289203,0.765768972,-0.539326454,,,1,1,,,,,
366,330,114,0,0,0,1,0,4.5,3,9.17,1,0.86,1.616332023,5.03458965,0.83428865,-0.407462317,,,1,1,,,,,
367,320,104,0,0,1,0,0,3.5,4.5,8.34,1,0.74,1.003240827,2.7271056,0.731695287,-0.573233742,,,1,1,,,,,
368,311,98,1,0,0,0,0,1,2.5,7.46,0,0.57,0.028583409,1.028995835,0.507145366,-0.691248465,,,1,1,,,,,
369,298,92,1,0,0,0,0,2,2,7.88,0,0.51,-0.028085956,0.972304788,0.492978973,-0.693526639,,,1,0,,,,,
370,301,98,1,0,0,0,0,2,3,8.03,1,0.67,0.509804029,1.664964877,0.624760533,-0.638622179,,,1,1,,,,,
371,310,103,0,1,0,0,0,2.5,2.5,8.24,0,0.72,0.494079583,1.638988992,0.621067006,-0.614658586,,,1,1,,,,,
372,324,110,0,0,1,0,0,3.5,3,9.22,1,0.89,1.520727228,4.575551455,0.820645544,-0.364943995,,,1,1,,,,,
373,336,119,0,0,0,1,0,4.5,4,9.62,1,0.95,2.165841946,8.72194223,0.897139895,-0.216835568,,,1,1,,,,,
374,321,109,0,0,1,0,0,3,3,8.54,1,0.79,1.067971597,2.909471929,0.744210978,-0.519704747,,,1,1,,,,,
375,315,105,0,1,0,0,0,2,2.5,7.65,0,0.39,0.226782044,1.2545564,0.556453766,-0.724508238,,,0,1,,,,,
376,304,101,0,1,0,0,0,2,2.5,7.66,0,0.38,0.056108843,1.057712802,0.514023532,-0.700273715,,,0,1,,,,,
377,297,96,0,1,0,0,0,2.5,2,7.43,0,0.34,-0.316837631,0.728449023,0.421446634,-0.654949282,,,0,0,,,,,
378,290,100,1,0,0,0,0,1.5,2,7.56,0,0.47,-0.116011157,0.890465288,0.471029695,-0.691348227,,,0,0,,,,,
379,303,98,1,0,0,0,0,2,2.5,7.65,0,0.56,0.058498842,1.060243758,0.514620541,-0.690064953,,,1,1,,,,,
380,311,99,1,0,0,0,0,2.5,3,8.43,1,0.71,0.850971854,2.341921753,0.700770971,-0.602356,,,1,1,,,,,
381,322,104,0,0,1,0,0,3.5,4,8.84,1,0.78,1.266055548,3.546834614,0.780066775,-0.526907974,,,1,1,,,,,
382,319,105,0,0,1,0,0,3,3.5,8.67,1,0.73,1.106856973,3.024836296,0.75154269,-0.584478648,,,1,1,,,,,
383,324,110,0,0,0,1,0,4.5,4,9.15,1,0.82,1.589271609,4.900178381,0.830513599,-0.471779865,,,1,1,,,,,
384,300,100,0,0,1,0,0,3,3.5,8.26,0,0.62,0.414324227,1.513347715,0.602124293,-0.664734595,,,1,1,,,,,
385,340,113,0,0,0,1,0,5,5,9.74,1,0.96,2.258621623,9.569889155,0.905391628,-0.189732555,,,1,1,,,,,
386,335,117,0,0,0,0,1,5,5,9.82,1,0.96,2.691001898,14.74644295,0.936493594,-0.173252673,,,1,1,,,,,
387,302,101,0,1,0,0,0,2.5,3.5,7.96,0,0.46,0.332774804,1.394833152,0.582434376,-0.720237154,,,0,1,,,,,
388,307,105,0,1,0,0,0,2,3.5,8.1,0,0.53,0.553186852,1.73878545,0.634874648,-0.714325524,,,1,1,,,,,
389,296,97,0,1,0,0,0,1.5,2,7.8,0,0.49,-0.060253441,0.941525882,0.484941195,-0.692998387,,,0,0,,,,,
390,320,108,0,0,1,0,0,3.5,4,8.44,1,0.76,1.087896959,2.968025624,0.747985498,-0.551466958,,,1,1,,,,,
391,314,102,0,1,0,0,0,2,2.5,8.24,0,0.64,0.516355525,1.675908699,0.626295172,-0.653821487,,,1,1,,,,,
392,318,106,0,0,1,0,0,2,3,8.65,0,0.71,0.889022641,2.432750817,0.708688439,-0.602155852,,,1,1,,,,,
393,326,112,0,0,0,1,0,4,3.5,9.12,1,0.84,1.578945706,4.849839958,0.829055152,-0.44009991,,,1,1,,,,,
394,317,104,0,1,0,0,0,3,3,8.76,0,0.77,0.942789678,2.567132912,0.719662815,-0.545814115,,,1,1,,,,,
395,329,111,0,0,0,1,0,4.5,4,9.23,1,0.89,1.70148057,5.482057955,0.845728007,-0.354720339,,,1,1,,,,,
396,324,110,0,0,1,0,0,3.5,3.5,9.04,1,0.82,1.470455018,4.351214572,0.813126537,-0.471550443,,,1,1,,,,,
397,325,107,0,0,1,0,0,3,3.5,9.11,1,0.84,1.468366777,4.34213767,0.812809017,-0.442197792,,,1,1,,,,,
398,330,116,0,0,0,1,0,5,4.5,9.45,1,0.91,1.999132824,7.382651266,0.880706,-0.306953375,,,1,1,,,,,
399,312,103,0,0,1,0,0,3.5,4,8.78,0,0.67,0.947175551,2.578416759,0.720546804,-0.640312837,,,1,1,,,,,
400,333,117,0,0,0,1,0,5,4,9.66,1,0.95,2.114058184,8.281782181,0.89226207,-0.219698298,,,1,1,,,,,
